"submission_id","itemname","felicity_rating","sentence","mirativity","valence","noteworthiness","felicity_mean","felicity_sd"
2257,"Item1",7,"Peter sits down on a bench in front of the ocean.<br>He looks at the view.<br>Contrary to his expectations, the view is nicer than most similar views, but he still feels neutral about it.<br>He says, <q>What a view!</q>","+","-","+",4.59375,2.05492028274117
2258,"Item12",6,"Claire listens to a song.<br>She thinks about the song.<br>Just as she had expected, the song is more beautiful than most similar songs, but she feels indifferent about it.<br>She says, <q>What a song!</q>","-","-","+",4.29166666666667,1.9189726783753
2258,"Item8",6,"Edward drinks a wine.<br>He takes a sip of the wine.<br>Contrary to his expectations, the wine is more exquisite than most similar wines, but he feels indifferent about it.<br>He says, <q>What a flavor!</q>","+","-","+",4.59375,2.05492028274117
2258,"Item6",10,"Dean reads a book.<br>He thinks about the story.<br>Different from what he had exptected, the story is more captivating than most similar stories, and he feels very positive about it.<br>He says, <q>What a tale!</q>","+","+","+",8.15625,1.51711724558193
2258,"Item11",5,"Luisa goes to the market.<br>She explores the market.<br>Just as she had expected, the market is typical compared to similar markets, but she still finds it very pleasant.<br>She says, <q>What a market!</q>","-","+","-",5.73958333333333,2.08374557324907
2258,"Item15",6,"Mailey plays a board game.<br>She makes a move.<br>To her surprise, the game is normal compared to similar games, but she still feels very positive about it.<br>She says, <q>What a game!</q>","+","+","-",5.70833333333333,2.0921742237338
2258,"Item10",10,"Jennifer prepares a soup.<br>She tastes the soup.<br>Unsurprisingly for her, the soup is more hearty than most similar soups, and she is very happy about it.<br>She says, <q>What a broth!</q>","-","+","+",7.53125,2.03109058078866
2258,"Item9",1,"Lara watches a film.<br>She thinks about the film.<br>Contrary to her expectations, the film is typical compared to similar films, and she feels indifferent about it.<br>She says, <q>What a movie!</q>","+","-","-",3.36458333333333,1.80128487280121
2258,"Item14",10,"Nadia bakes cookies.<br>She tastes the cookies.<br>Other than she had anticipated, the cookies are more delicious than most similar cookies, and she is very happy about them.<br>She says, <q>What a cookie!</q>","+","+","+",8.15625,1.51711724558193
2258,"Item3",1,"Sam photographs a scene.<br>He examines the photograph.<br>In line with his expectations, the photograph is average compared to similar photographs, but he still finds it very pleasant.<br>He says, <q>What a shot!</q>","-","+","-",5.73958333333333,2.08374557324907
2258,"Item16",3,"Zoe wears a dress.<br>She looks at herself in the mirror.<br>To her surprise, the dress is more elegant than most similar dresses, but she is neutral about it.<br>She says, <q>What a dress!</q>","+","-","+",4.59375,2.05492028274117
2258,"Item2",5,"Tom knits a pair of socks.<br>He touches the socks.<br>In line with his expectations, the socks are warmer than most similar socks, and he finds them very pleasant.<br>He says, <q>What a fabric!</q>","-","+","+",7.53125,2.03109058078866
2258,"Item7",2,"James brews a tea.<br>He sips the tea.<br>Contrary to his expectations, the tea is ordinary compared to similar teas, but he is still very happy about it.<br>He says, <q>What an infusion!</q>","+","+","-",5.70833333333333,2.0921742237338
2258,"Item5",1,"Wesley grows a flower.<br>He smells the flower.<br>Just as he had expected, the flower is typical compared to similar flowers, and he has no strong feelings about it.<br>He says, <q>What a bloom!</q>","-","-","-",3.19791666666667,1.87290818987993
2258,"Item13",1,"Alice buys a facial cream.<br>She applies the cream.<br>Just as she had expected, the cream is average compared to similar creams, and she has no strong feelings about it.<br>She says, <q>What a cream!</q>","-","-","-",3.19791666666667,1.87290818987993
2258,"Item4",3,"Jack cooks a meal.<br>He tastes the meal.<br>Just as he had expected, the meal is more flavorful than most similar meals, but he still feels indifferent about it.<br>He says, <q>What a dish!</q>","-","-","+",4.29166666666667,1.9189726783753
2258,"Item1",1,"Peter sits down on a bench in front of the ocean.<br>He looks at the view.<br>Contrary to his expectations, the view is average compared to similar views, and he feels neutral about it.<br>He says, <q>What a view!</q>","+","-","-",3.36458333333333,1.80128487280121
2260,"Item3",6,"Sam photographs a scene.<br>He examines the photograph.<br>In line with his expectations, the photograph is more striking than most similar photographs, but he still feels indifferent about it.<br>He says, <q>What a shot!</q>","-","-","+",4.29166666666667,1.9189726783753
2260,"Item12",1,"Claire listens to a song.<br>She thinks about the song.<br>Just as she had expected, the song is typical compared to similar songs, and she feels indifferent about it.<br>She says, <q>What a song!</q>","-","-","-",3.19791666666667,1.87290818987993
2260,"Item10",7,"Jennifer prepares a soup.<br>She tastes the soup.<br>Unsurprisingly for her, the soup is typical compared to similar soups, but she is still very happy about it.<br>She says, <q>What a broth!</q>","-","+","-",5.73958333333333,2.08374557324907
2260,"Item13",9,"Alice buys a facial cream.<br>She applies the cream.<br>Other than she had anticipated, the cream is more soothing than most similar creams, and she feels very positive about it.<br>She says, <q>What a cream!</q>","+","+","+",8.15625,1.51711724558193
2260,"Item14",6,"Nadia bakes cookies.<br>She tastes the cookies.<br>Other than she had anticipated, the cookies are normal compared to similar cookies, but she is still very happy about them.<br>She says, <q>What a cookie!</q>","+","+","-",5.70833333333333,2.0921742237338
2260,"Item2",4,"Tom knits a pair of socks.<br>He touches the socks.<br>In line with his expectations, the socks are average compared to similar socks, but he still finds them very pleasant.<br>He says, <q>What a fabric!</q>","-","+","-",5.73958333333333,2.08374557324907
2260,"Item16",4,"Zoe wears a dress.<br>She looks at herself in the mirror.<br>To her surprise, the dress is normal compared to similar dresses, and she is neutral about it.<br>She says, <q>What a dress!</q>","+","-","-",3.36458333333333,1.80128487280121
2260,"Item15",4,"Mailey plays a board game.<br>She makes a move.<br>To her surprise, the game is more entertaining than most similar games, but she is neutral about it.<br>She says, <q>What a game!</q>","+","-","+",4.59375,2.05492028274117
2260,"Item1",8,"Peter sits down on a bench in front of the ocean.<br>He looks at the view.<br>In line with his expectations, the view is nicer than most similar views, and he finds it very pleasant.<br>He says, <q>What a view!</q>","-","+","+",7.53125,2.03109058078866
2260,"Item7",4,"James brews a tea.<br>He sips the tea.<br>Contrary to his expectations, the tea is tastier than most similar teas, but he feels indifferent about it.<br>He says, <q>What an infusion!</q>","+","-","+",4.59375,2.05492028274117
2260,"Item4",3,"Jack cooks a meal.<br>He tastes the meal.<br>Just as he had expected, the meal is average compared to similar meals, and he feels indifferent about it.<br>He says, <q>What a dish!</q>","-","-","-",3.19791666666667,1.87290818987993
2260,"Item11",3,"Luisa goes to the market.<br>She explores the market.<br>Just as she had expected, the market is more lively than most similar markets, but she feels indifferent about it.<br>She says, <q>What a market!</q>","-","-","+",4.29166666666667,1.9189726783753
2260,"Item8",3,"Edward drinks a wine.<br>He takes a sip of the wine.<br>Contrary to his expectations, the wine is ordinary compared to similar wines, and he feels indifferent about it.<br>He says, <q>What a flavor!</q>","+","-","-",3.36458333333333,1.80128487280121
2260,"Item6",7,"Dean reads a book.<br>He thinks about the story.<br>Different from what he had exptected, the story is typical compared to similar stories, but he still feels very positive about it.<br>He says, <q>What a tale!</q>","+","+","-",5.70833333333333,2.0921742237338
2260,"Item9",9,"Lara watches a film.<br>She thinks about the film.<br>Unsurprisingly for her, the film is more interesting than most similar films, and she feels very positive about it.<br>She says, <q>What a movie!</q>","-","+","+",7.53125,2.03109058078866
2260,"Item5",10,"Wesley grows a flower.<br>He smells the flower.<br>To his surprise, the flower is more beautiful than most similar flowers, and he is very happy about it.<br>He says, <q>What a bloom!</q>","+","+","+",8.15625,1.51711724558193
2261,"Item11",10,"Luisa goes to the market.<br>She explores the market.<br>Just as she had expected, the market is more lively than most similar markets, and she finds it very pleasant.<br>She says, <q>What a market!</q>","-","+","+",7.53125,2.03109058078866
2261,"Item3",10,"Sam photographs a scene.<br>He examines the photograph.<br>In line with his expectations, the photograph is more striking than most similar photographs, and he finds it very pleasant.<br>He says, <q>What a shot!</q>","-","+","+",7.53125,2.03109058078866
2261,"Item6",2,"Dean reads a book.<br>He thinks about the story.<br>Just as he had expected, the story is typical compared to similar stories, and he has no strong feelings about it.<br>He says, <q>What a tale!</q>","-","-","-",3.19791666666667,1.87290818987993
2261,"Item8",9,"Edward drinks a wine.<br>He takes a sip of the wine.<br>Contrary to his expectations, the wine is ordinary compared to similar wines, but he still feels very positive about it.<br>He says, <q>What a flavor!</q>","+","+","-",5.70833333333333,2.0921742237338
2261,"Item2",2,"Tom knits a pair of socks.<br>He touches the socks.<br>Contrary to his expectations, the socks are average compared to similar socks, and he feels neutral about them.<br>He says, <q>What a fabric!</q>","+","-","-",3.36458333333333,1.80128487280121
2261,"Item12",8,"Claire listens to a song.<br>She thinks about the song.<br>Just as she had expected, the song is typical compared to similar songs, but she still finds it very pleasant.<br>She says, <q>What a song!</q>","-","+","-",5.73958333333333,2.08374557324907
2261,"Item5",7,"Wesley grows a flower.<br>He smells the flower.<br>Just as he had expected, the flower is more beautiful than most similar flowers, but he has no strong feelings about it.<br>He says, <q>What a bloom!</q>","-","-","+",4.29166666666667,1.9189726783753
2261,"Item14",2,"Nadia bakes cookies.<br>She tastes the cookies.<br>As she had anticipated, the cookies are normal compared to similar cookies, and she has no strong feelings about them.<br>She says, <q>What a cookie!</q>","-","-","-",3.19791666666667,1.87290818987993
2261,"Item13",2,"Alice buys a facial cream.<br>She applies the cream.<br>Just as she had expected, the cream is more soothing than most similar creams, but she has no strong feelings about it.<br>She says, <q>What a cream!</q>","-","-","+",4.29166666666667,1.9189726783753
2261,"Item15",10,"Mailey plays a board game.<br>She makes a move.<br>To her surprise, the game is more entertaining than most similar games, and she feels very positive about it.<br>She says, <q>What a game!</q>","+","+","+",8.15625,1.51711724558193
2261,"Item4",6,"Jack cooks a meal.<br>He tastes the meal.<br>Just as he had expected, the meal is average compared to similar meals, but he still finds it very pleasant.<br>He says, <q>What a dish!</q>","-","+","-",5.73958333333333,2.08374557324907
2261,"Item10",4,"Jennifer prepares a soup.<br>She tastes the soup.<br>To her surprise, the soup is typical compared to similar soups, and she feels indifferent about it.<br>She says, <q>What a broth!</q>","+","-","-",3.36458333333333,1.80128487280121
2261,"Item9",4,"Lara watches a film.<br>She thinks about the film.<br>Contrary to her expectations, the film is more interesting than most similar films, but she feels indifferent about it.<br>She says, <q>What a movie!</q>","+","-","+",4.59375,2.05492028274117
2261,"Item1",6,"Peter sits down on a bench in front of the ocean.<br>He looks at the view.<br>Contrary to his expectations, the view is nicer than most similar views, but he still feels neutral about it.<br>He says, <q>What a view!</q>","+","-","+",4.59375,2.05492028274117
2261,"Item16",3,"Zoe wears a dress.<br>She looks at herself in the mirror.<br>To her surprise, the dress is normal compared to similar dresses, but she still feels very positive about it.<br>She says, <q>What a dress!</q>","+","+","-",5.70833333333333,2.0921742237338
2261,"Item7",10,"James brews a tea.<br>He sips the tea.<br>Contrary to his expectations, the tea is tastier than most similar teas, and he is very happy about it.<br>He says, <q>What an infusion!</q>","+","+","+",8.15625,1.51711724558193
2262,"Item4",5,"Jack cooks a meal.<br>He tastes the meal.<br>To his surprise, the meal is average compared to similar meals, but he still finds it very pleasant.<br>He says, <q>What a dish!</q>","+","+","-",5.70833333333333,2.0921742237338
2262,"Item9",5,"Lara watches a film.<br>She thinks about the film.<br>Unsurprisingly for her, the film is more interesting than most similar films, but she feels indifferent about it.<br>She says, <q>What a movie!</q>","-","-","+",4.29166666666667,1.9189726783753
2262,"Item13",5,"Alice buys a facial cream.<br>She applies the cream.<br>Other than she had anticipated, the cream is more soothing than most similar creams, but she has no strong feelings about it.<br>She says, <q>What a cream!</q>","+","-","+",4.59375,2.05492028274117
2262,"Item7",8,"James brews a tea.<br>He sips the tea.<br>Unsurprisingly for him, the tea is tastier than most similar teas, and he is very happy about it.<br>He says, <q>What an infusion!</q>","-","+","+",7.53125,2.03109058078866
2262,"Item14",5,"Nadia bakes cookies.<br>She tastes the cookies.<br>Other than she had anticipated, the cookies are normal compared to similar cookies, and she has no strong feelings about them.<br>She says, <q>What a cookie!</q>","+","-","-",3.36458333333333,1.80128487280121
2262,"Item8",5,"Edward drinks a wine.<br>He takes a sip of the wine.<br>Unsurprisingly for him, the wine is ordinary compared to similar wines, but he still feels very positive about it.<br>He says, <q>What a flavor!</q>","-","+","-",5.73958333333333,2.08374557324907
2262,"Item15",8,"Mailey plays a board game.<br>She makes a move.<br>As she had anticipated, the game is more entertaining than most similar games, and she feels very positive about it.<br>She says, <q>What a game!</q>","-","+","+",7.53125,2.03109058078866
2262,"Item3",8,"Sam photographs a scene.<br>He examines the photograph.<br>To his surprise, the photograph is more striking than most similar photographs, and he finds it very pleasant.<br>He says, <q>What a shot!</q>","+","+","+",8.15625,1.51711724558193
2262,"Item12",5,"Claire listens to a song.<br>She thinks about the song.<br>Contrary to her expectations, the song is typical compared to similar songs, but she still finds it very pleasant.<br>She says, <q>What a song!</q>","+","+","-",5.70833333333333,2.0921742237338
2262,"Item11",7,"Luisa goes to the market.<br>She explores the market.<br>Contrary to her expectations, the market is more lively than most similar markets, and she finds it very pleasant.<br>She says, <q>What a market!</q>","+","+","+",8.15625,1.51711724558193
2262,"Item5",5,"Wesley grows a flower.<br>He smells the flower.<br>To his surprise, the flower is more beautiful than most similar flowers, but he has no strong feelings about it.<br>He says, <q>What a bloom!</q>","+","-","+",4.59375,2.05492028274117
2262,"Item6",5,"Dean reads a book.<br>He thinks about the story.<br>Different from what he had exptected, the story is typical compared to similar stories, and he has no strong feelings about it.<br>He says, <q>What a tale!</q>","+","-","-",3.36458333333333,1.80128487280121
2262,"Item16",5,"Zoe wears a dress.<br>She looks at herself in the mirror.<br>As she had anticipated, the dress is normal compared to similar dresses, but she still feels very positive about it.<br>She says, <q>What a dress!</q>","-","+","-",5.73958333333333,2.08374557324907
2262,"Item1",5,"Peter sits down on a bench in front of the ocean.<br>He looks at the view.<br>In line with his expectations, the view is nicer than most similar views, but he still feels neutral about it.<br>He says, <q>What a view!</q>","-","-","+",4.29166666666667,1.9189726783753
2262,"Item10",5,"Jennifer prepares a soup.<br>She tastes the soup.<br>Unsurprisingly for her, the soup is typical compared to similar soups, and she feels indifferent about it.<br>She says, <q>What a broth!</q>","-","-","-",3.19791666666667,1.87290818987993
2262,"Item2",5,"Tom knits a pair of socks.<br>He touches the socks.<br>In line with his expectations, the socks are average compared to similar socks, and he feels neutral about them.<br>He says, <q>What a fabric!</q>","-","-","-",3.19791666666667,1.87290818987993
2263,"Item15",3,"Mailey plays a board game.<br>She makes a move.<br>As she had anticipated, the game is normal compared to similar games, and she is neutral about it.<br>She says, <q>What a game!</q>","-","-","-",3.19791666666667,1.87290818987993
2263,"Item8",8,"Edward drinks a wine.<br>He takes a sip of the wine.<br>Contrary to his expectations, the wine is more exquisite than most similar wines, and he feels very positive about it.<br>He says, <q>What a flavor!</q>","+","+","+",8.15625,1.51711724558193
2263,"Item9",5,"Lara watches a film.<br>She thinks about the film.<br>Contrary to her expectations, the film is typical compared to similar films, but she still feels very positive about it.<br>She says, <q>What a movie!</q>","+","+","-",5.70833333333333,2.0921742237338
2263,"Item14",4,"Nadia bakes cookies.<br>She tastes the cookies.<br>As she had anticipated, the cookies are more delicious than most similar cookies, but she has no strong feelings about them.<br>She says, <q>What a cookie!</q>","-","-","+",4.29166666666667,1.9189726783753
2263,"Item1",6,"Peter sits down on a bench in front of the ocean.<br>He looks at the view.<br>Contrary to his expectations, the view is average compared to similar views, but he still finds it very pleasant.<br>He says, <q>What a view!</q>","+","+","-",5.70833333333333,2.0921742237338
2263,"Item4",7,"Jack cooks a meal.<br>He tastes the meal.<br>Just as he had expected, the meal is more flavorful than most similar meals, and he finds it very pleasant.<br>He says, <q>What a dish!</q>","-","+","+",7.53125,2.03109058078866
2263,"Item6",4,"Dean reads a book.<br>He thinks about the story.<br>Just as he had expected, the story is more captivating than most similar stories, but he has no strong feelings about it.<br>He says, <q>What a tale!</q>","-","-","+",4.29166666666667,1.9189726783753
2263,"Item3",3,"Sam photographs a scene.<br>He examines the photograph.<br>To his surprise, the photograph is average compared to similar photographs, and he feels indifferent about it.<br>He says, <q>What a shot!</q>","+","-","-",3.36458333333333,1.80128487280121
2263,"Item5",5,"Wesley grows a flower.<br>He smells the flower.<br>Just as he had expected, the flower is typical compared to similar flowers, but he is still very happy about it.<br>He says, <q>What a bloom!</q>","-","+","-",5.73958333333333,2.08374557324907
2263,"Item12",7,"Claire listens to a song.<br>She thinks about the song.<br>Just as she had expected, the song is more beautiful than most similar songs, and she finds it very pleasant.<br>She says, <q>What a song!</q>","-","+","+",7.53125,2.03109058078866
2263,"Item11",3,"Luisa goes to the market.<br>She explores the market.<br>Contrary to her expectations, the market is typical compared to similar markets, and she feels indifferent about it.<br>She says, <q>What a market!</q>","+","-","-",3.36458333333333,1.80128487280121
2263,"Item7",2,"James brews a tea.<br>He sips the tea.<br>Unsurprisingly for him, the tea is ordinary compared to similar teas, and he feels indifferent about it.<br>He says, <q>What an infusion!</q>","-","-","-",3.19791666666667,1.87290818987993
2263,"Item10",3,"Jennifer prepares a soup.<br>She tastes the soup.<br>To her surprise, the soup is more hearty than most similar soups, but she feels indifferent about it.<br>She says, <q>What a broth!</q>","+","-","+",4.59375,2.05492028274117
2263,"Item13",4,"Alice buys a facial cream.<br>She applies the cream.<br>Just as she had expected, the cream is average compared to similar creams, but she still feels very positive about it.<br>She says, <q>What a cream!</q>","-","+","-",5.73958333333333,2.08374557324907
2263,"Item16",8,"Zoe wears a dress.<br>She looks at herself in the mirror.<br>To her surprise, the dress is more elegant than most similar dresses, and she feels very positive about it.<br>She says, <q>What a dress!</q>","+","+","+",8.15625,1.51711724558193
2263,"Item2",3,"Tom knits a pair of socks.<br>He touches the socks.<br>Contrary to his expectations, the socks are warmer than most similar socks, but he still feels neutral about them.<br>He says, <q>What a fabric!</q>","+","-","+",4.59375,2.05492028274117
2264,"Item16",6,"Zoe wears a dress.<br>She looks at herself in the mirror.<br>As she had anticipated, the dress is more elegant than most similar dresses, and she feels very positive about it.<br>She says, <q>What a dress!</q>","-","+","+",7.53125,2.03109058078866
2264,"Item10",3,"Jennifer prepares a soup.<br>She tastes the soup.<br>Unsurprisingly for her, the soup is more hearty than most similar soups, but she feels indifferent about it.<br>She says, <q>What a broth!</q>","-","-","+",4.29166666666667,1.9189726783753
2264,"Item2",3,"Tom knits a pair of socks.<br>He touches the socks.<br>In line with his expectations, the socks are warmer than most similar socks, but he still feels neutral about them.<br>He says, <q>What a fabric!</q>","-","-","+",4.29166666666667,1.9189726783753
2264,"Item8",9,"Edward drinks a wine.<br>He takes a sip of the wine.<br>Unsurprisingly for him, the wine is more exquisite than most similar wines, and he feels very positive about it.<br>He says, <q>What a flavor!</q>","-","+","+",7.53125,2.03109058078866
2264,"Item3",2,"Sam photographs a scene.<br>He examines the photograph.<br>In line with his expectations, the photograph is average compared to similar photographs, and he feels indifferent about it.<br>He says, <q>What a shot!</q>","-","-","-",3.19791666666667,1.87290818987993
2264,"Item6",5,"Dean reads a book.<br>He thinks about the story.<br>Different from what he had exptected, the story is more captivating than most similar stories, but he has no strong feelings about it.<br>He says, <q>What a tale!</q>","+","-","+",4.59375,2.05492028274117
2264,"Item13",4,"Alice buys a facial cream.<br>She applies the cream.<br>Other than she had anticipated, the cream is average compared to similar creams, but she still feels very positive about it.<br>She says, <q>What a cream!</q>","+","+","-",5.70833333333333,2.0921742237338
2264,"Item4",9,"Jack cooks a meal.<br>He tastes the meal.<br>To his surprise, the meal is more flavorful than most similar meals, and he finds it very pleasant.<br>He says, <q>What a dish!</q>","+","+","+",8.15625,1.51711724558193
2264,"Item14",5,"Nadia bakes cookies.<br>She tastes the cookies.<br>Other than she had anticipated, the cookies are more delicious than most similar cookies, but she has no strong feelings about them.<br>She says, <q>What a cookie!</q>","+","-","+",4.59375,2.05492028274117
2264,"Item15",3,"Mailey plays a board game.<br>She makes a move.<br>To her surprise, the game is normal compared to similar games, and she is neutral about it.<br>She says, <q>What a game!</q>","+","-","-",3.36458333333333,1.80128487280121
2264,"Item12",9,"Claire listens to a song.<br>She thinks about the song.<br>Contrary to her expectations, the song is more beautiful than most similar songs, and she finds it very pleasant.<br>She says, <q>What a song!</q>","+","+","+",8.15625,1.51711724558193
2264,"Item1",6,"Peter sits down on a bench in front of the ocean.<br>He looks at the view.<br>In line with his expectations, the view is average compared to similar views, but he still finds it very pleasant.<br>He says, <q>What a view!</q>","-","+","-",5.73958333333333,2.08374557324907
2264,"Item7",2,"James brews a tea.<br>He sips the tea.<br>Contrary to his expectations, the tea is ordinary compared to similar teas, and he feels indifferent about it.<br>He says, <q>What an infusion!</q>","+","-","-",3.36458333333333,1.80128487280121
2264,"Item9",4,"Lara watches a film.<br>She thinks about the film.<br>Unsurprisingly for her, the film is typical compared to similar films, but she still feels very positive about it.<br>She says, <q>What a movie!</q>","-","+","-",5.73958333333333,2.08374557324907
2264,"Item5",6,"Wesley grows a flower.<br>He smells the flower.<br>To his surprise, the flower is typical compared to similar flowers, but he is still very happy about it.<br>He says, <q>What a bloom!</q>","+","+","-",5.70833333333333,2.0921742237338
2264,"Item11",4,"Luisa goes to the market.<br>She explores the market.<br>Just as she had expected, the market is typical compared to similar markets, and she feels indifferent about it.<br>She says, <q>What a market!</q>","-","-","-",3.19791666666667,1.87290818987993
2265,"Item15",8,"Mailey plays a board game.<br>She makes a move.<br>As she had anticipated, the game is more entertaining than most similar games, and she feels very positive about it.<br>She says, <q>What a game!</q>","-","+","+",7.53125,2.03109058078866
2265,"Item5",3,"Wesley grows a flower.<br>He smells the flower.<br>To his surprise, the flower is more beautiful than most similar flowers, but he has no strong feelings about it.<br>He says, <q>What a bloom!</q>","+","-","+",4.59375,2.05492028274117
2265,"Item9",1,"Lara watches a film.<br>She thinks about the film.<br>Unsurprisingly for her, the film is more interesting than most similar films, but she feels indifferent about it.<br>She says, <q>What a movie!</q>","-","-","+",4.29166666666667,1.9189726783753
2265,"Item11",9,"Luisa goes to the market.<br>She explores the market.<br>Contrary to her expectations, the market is more lively than most similar markets, and she finds it very pleasant.<br>She says, <q>What a market!</q>","+","+","+",8.15625,1.51711724558193
2265,"Item10",2,"Jennifer prepares a soup.<br>She tastes the soup.<br>Unsurprisingly for her, the soup is typical compared to similar soups, and she feels indifferent about it.<br>She says, <q>What a broth!</q>","-","-","-",3.19791666666667,1.87290818987993
2265,"Item7",10,"James brews a tea.<br>He sips the tea.<br>Unsurprisingly for him, the tea is tastier than most similar teas, and he is very happy about it.<br>He says, <q>What an infusion!</q>","-","+","+",7.53125,2.03109058078866
2265,"Item2",3,"Tom knits a pair of socks.<br>He touches the socks.<br>In line with his expectations, the socks are average compared to similar socks, and he feels neutral about them.<br>He says, <q>What a fabric!</q>","-","-","-",3.19791666666667,1.87290818987993
2265,"Item3",10,"Sam photographs a scene.<br>He examines the photograph.<br>To his surprise, the photograph is more striking than most similar photographs, and he finds it very pleasant.<br>He says, <q>What a shot!</q>","+","+","+",8.15625,1.51711724558193
2265,"Item6",3,"Dean reads a book.<br>He thinks about the story.<br>Different from what he had exptected, the story is typical compared to similar stories, and he has no strong feelings about it.<br>He says, <q>What a tale!</q>","+","-","-",3.36458333333333,1.80128487280121
2265,"Item8",5,"Edward drinks a wine.<br>He takes a sip of the wine.<br>Unsurprisingly for him, the wine is ordinary compared to similar wines, but he still feels very positive about it.<br>He says, <q>What a flavor!</q>","-","+","-",5.73958333333333,2.08374557324907
2265,"Item1",3,"Peter sits down on a bench in front of the ocean.<br>He looks at the view.<br>In line with his expectations, the view is nicer than most similar views, but he still feels neutral about it.<br>He says, <q>What a view!</q>","-","-","+",4.29166666666667,1.9189726783753
2265,"Item14",2,"Nadia bakes cookies.<br>She tastes the cookies.<br>Other than she had anticipated, the cookies are normal compared to similar cookies, and she has no strong feelings about them.<br>She says, <q>What a cookie!</q>","+","-","-",3.36458333333333,1.80128487280121
2265,"Item13",2,"Alice buys a facial cream.<br>She applies the cream.<br>Other than she had anticipated, the cream is more soothing than most similar creams, but she has no strong feelings about it.<br>She says, <q>What a cream!</q>","+","-","+",4.59375,2.05492028274117
2265,"Item4",2,"Jack cooks a meal.<br>He tastes the meal.<br>To his surprise, the meal is average compared to similar meals, but he still finds it very pleasant.<br>He says, <q>What a dish!</q>","+","+","-",5.70833333333333,2.0921742237338
2265,"Item12",4,"Claire listens to a song.<br>She thinks about the song.<br>Contrary to her expectations, the song is typical compared to similar songs, but she still finds it very pleasant.<br>She says, <q>What a song!</q>","+","+","-",5.70833333333333,2.0921742237338
2265,"Item16",4,"Zoe wears a dress.<br>She looks at herself in the mirror.<br>As she had anticipated, the dress is normal compared to similar dresses, but she still feels very positive about it.<br>She says, <q>What a dress!</q>","-","+","-",5.73958333333333,2.08374557324907
